84
STAGGERED VERTICAL LAYERING ON  84 MOMENTUM HYBRID LEVELS WITH Grd_rcoef=    3.00  15.00:
  level          HYB        ~HEIGHTS     ~DELTA_Z       IP1
    1       1.01373E-04      63905.       3291.      97618941
    2       1.62775E-04      60615.       3268.      97680343
    3       2.60514E-04      57347.       3205.      97778082
    4       4.13184E-04      54142.       3033.      97930752
    5       6.39274E-04      51109.       2815.      98156842
    6       9.58517E-04      48294.       2613.      98476085
    7       1.39601E-03      45682.       2436.      96608593
    8       1.98204E-03      43246.       2256.      96667196
    9       2.74213E-03      40991.       2080.      96743205
   10       3.69914E-03      38910.       1914.      96838906
   11       4.87243E-03      36996.       1761.      96956235
   12       6.27771E-03      35235.       1621.      97096763
   13       7.92726E-03      33614.       1495.      97261718
   14       9.83064E-03      32119.       1383.      97452056
   15       1.19955E-02      30736.       1283.      95540371
   16       1.44284E-02      29453.       1195.      95564700
   17       1.71357E-02      28258.       1117.      95591773
   18       2.01247E-02      27140.       1049.      95621663
   19       2.34037E-02      26091.        989.      95654453
   20       2.69833E-02      25102.        933.      95690249
   21       3.08588E-02      24170.        878.      95729004
   22       3.50138E-02      23292.        826.      95770554
   23       3.94321E-02      22466.        777.      95814737
   24       4.40984E-02      21689.        732.      95861400
   25       4.89999E-02      20957.        691.      95910415
   26       5.41268E-02      20265.        654.      95961684
   27       5.94727E-02      19611.        621.      96015143
   28       6.50355E-02      18990.        592.      96070771
   29       7.08170E-02      18398.        566.      96128586
   30       7.68236E-02      17832.        543.      96188652
   31       8.30664E-02      17289.        523.      96251080
   32       8.95612E-02      16766.        506.      96316028
   33       9.63295E-02      16260.        492.      96383711
   34       1.03398E-01      15768.        481.      94475238
   35       1.10802E-01      15287.        471.      94482642
   36       1.18581E-01      14816.        465.      94490421
   37       1.26787E-01      14351.        460.      94498627
   38       1.35469E-01      13891.        456.      94507309
   39       1.44662E-01      13434.        453.      94516502
   40       1.54405E-01      12981.        450.      94526245
   41       1.64735E-01      12531.        447.      94536575
   42       1.75693E-01      12084.        445.      94547533
   43       1.87323E-01      11639.        443.      94559163
   44       1.99668E-01      11195.        442.      94571508
   45       2.12772E-01      10753.        440.      94584612
   46       2.26682E-01      10313.        438.      94598522
   47       2.41444E-01       9875.        437.      94613284
   48       2.57104E-01       9438.        435.      94628944
   49       2.73707E-01       9003.        433.      94645547
   50       2.91296E-01       8571.        430.      94663136
   51       3.09913E-01       8140.        428.      94681753
   52       3.29595E-01       7712.        425.      94701435
   53       3.50374E-01       7287.        421.      94722214
   54       3.72278E-01       6866.        417.      94744118
   55       3.95326E-01       6449.        413.      94767166
   56       4.19531E-01       6036.        407.      94791371
   57       4.44838E-01       5629.        398.      94816678
   58       4.71068E-01       5231.        387.      94842908
   59       4.98030E-01       4844.        373.      94869870
   60       5.25527E-01       4470.        359.      94897367
   61       5.53374E-01       4112.        343.      94925214
   62       5.81391E-01       3769.        327.      94953231
   63       6.09418E-01       3441.        311.      94981258
   64       6.37314E-01       3130.        295.      95009154
   65       6.64956E-01       2835.        279.      95036796
   66       6.92242E-01       2556.        264.      95064082
   67       7.19089E-01       2291.        250.      95090929
   68       7.45386E-01       2042.        234.      95117226
   69       7.70904E-01       1808.        218.      95142744
   70       7.95438E-01       1590.        201.      95167278
   71       8.18815E-01       1389.        185.      95190655
   72       8.40901E-01       1204.        169.      95212741
   73       8.61601E-01       1035.        154.      95233441
   74       8.80856E-01        882.        139.      95252696
   75       8.98642E-01        743.        125.      95270482
   76       9.14966E-01        618.        113.      95286806
   77       9.30004E-01        504.        103.      95301844
   78       9.43925E-01        401.         93.      95315765
   79       9.56665E-01        308.         82.      95328505
   80       9.68043E-01        226.         70.      95339883
   81       9.77868E-01        156.         58.      95349708
   82       9.86026E-01         98.         46.      95357866
   83       9.92524E-01         52.         35.      95364364
   84       9.97502E-01         17.         17.      95369342
