86
STAGGERED VERTICAL LAYERING ON  86 MOMENTUM HYBRID LEVELS WITH Grd_rcoef=    3.00  15.00:
  level          HYB        ~HEIGHTS     ~DELTA_Z       IP1
    1       1.00000E-04      64000.       3267.      99566144
    2       1.60029E-04      60733.       3269.      97677597
    3       2.56166E-04      57464.       3218.      97773734
    4       4.07049E-04      54246.       3058.      97924617
    5       6.32075E-04      51188.       2852.      98149643
    6       9.52808E-04      48336.       2601.      98470376
    7       1.38538E-03      45735.       2428.      96607530
    8       1.96480E-03      43307.       2246.      96665472
    9       2.71459E-03      41061.       2046.      96740451
   10       3.64378E-03      39015.       1907.      96833370
   11       4.79470E-03      37108.       1763.      96948462
   12       6.17909E-03      35345.       1642.      97086901
   13       7.82595E-03      33703.       1510.      97251587
   14       9.72525E-03      32194.       1416.      97441517
   15       1.19240E-02      30777.       1321.      95539656
   16       1.44200E-02      29457.       1229.      95564616
   17       1.72098E-02      28228.       1145.      95592514
   18       2.02920E-02      27083.       1060.      95623336
   19       2.36372E-02      26022.        988.      95656788
   20       2.72474E-02      25035.        937.      95692890
   21       3.11800E-02      24098.        893.      95732216
   22       3.54576E-02      23205.        776.      95774992
   23       3.96494E-02      22428.        739.      95816910
   24       4.41014E-02      21689.        705.      95861430
   25       4.88097E-02      20984.        673.      95908513
   26       5.37698E-02      20311.        642.      95958114
   27       5.89748E-02      19669.        613.      96010164
   28       6.44148E-02      19056.        585.      96064564
   29       7.00773E-02      18471.        559.      96121189
   30       7.59516E-02      17911.        536.      96179932
   31       8.20431E-02      17375.        517.      96240847
   32       8.83743E-02      16859.        500.      96304159
   33       9.49739E-02      16358.        487.      96370155
   34       1.01875E-01      15871.        477.      94473715
   35       1.09118E-01      15394.        470.      94480958
   36       1.16748E-01      14924.        465.      94488588
   37       1.24822E-01      14459.        461.      94496662
   38       1.33390E-01      13998.        459.      94505230
   39       1.42491E-01      13539.        456.      94514331
   40       1.52155E-01      13083.        453.      94523995
   41       1.62412E-01      12630.        451.      94534252
   42       1.73295E-01      12179.        448.      94545135
   43       1.84837E-01      11731.        445.      94556677
   44       1.97074E-01      11286.        443.      94568914
   45       2.10042E-01      10843.        440.      94581882
   46       2.23781E-01      10403.        438.      94595621
   47       2.38330E-01       9965.        435.      94610170
   48       2.53733E-01       9530.        433.      94625573
   49       2.70032E-01       9097.        430.      94641872
   50       2.87274E-01       8667.        428.      94659114
   51       3.05506E-01       8240.        425.      94677346
   52       3.24779E-01       7815.        423.      94696619
   53       3.45146E-01       7392.        420.      94716986
   54       3.66659E-01       6972.        418.      94738499
   55       3.89376E-01       6554.        415.      94761216
   56       4.13348E-01       6139.        412.      94785188
   57       4.38612E-01       5727.        407.      94810452
   58       4.65065E-01       5320.        398.      94836905
   59       4.92470E-01       4922.        386.      94864310
   60       5.20570E-01       4536.        371.      94892410
   61       5.49091E-01       4166.        354.      94920931
   62       5.77755E-01       3812.        336.      94949595
   63       6.06341E-01       3477.        318.      94978181
   64       6.34703E-01       3159.        300.      95006543
   65       6.62715E-01       2859.        283.      95034555
   66       6.90261E-01       2576.        266.      95062101
   67       7.17203E-01       2310.        249.      95089043
   68       7.43396E-01       2060.        233.      95115236
   69       7.68725E-01       1828.        217.      95140565
   70       7.93089E-01       1611.        201.      95164929
   71       8.16369E-01       1410.        185.      95188209
   72       8.38447E-01       1224.        170.      95210287
   73       8.59236E-01       1054.        155.      95231076
   74       8.78670E-01        899.        141.      95250510
   75       8.96678E-01        758.        127.      95268518
   76       9.13186E-01        631.        113.      95285026
   77       9.28155E-01        518.        100.      95299995
   78       9.41580E-01        418.         87.      95313420
   79       9.53459E-01        331.         75.      95325299
   80       9.63788E-01        256.         63.      95335628
   81       9.72597E-01        193.         54.      95344437
   82       9.80140E-01        139.         45.      95351980
   83       9.86566E-01         94.         37.      95358406
   84       9.91762E-01         57.         28.      95363602
   85       9.95719E-01         30.         20.      95367559
   86       9.98574E-01         10.         10.      95370414
